"C:\Program Files\Java\jdk-10.0.2\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\lib\idea_rt.jar=49996:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.1\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\perni\OneDrive\Documents\DataIng\2. Klasse\Vår\Kjemi\Assignment\out\production\Assignment" Element
Difference between stated density and calculated:
Rb: 0.003731903581653699

Distance between atoms in Rb 3.362517931341435E-7

Calculated density: Sr: 1.991509099104191E-6
Emperical density: Sr: 2.614716771320976E-6


Difference between stated density and empirical:
Sr: 1.5319973852832287


Difference between stated density and calculated:
Sr: 1.5319980084909008

Distance between atoms in Sr 4.562448064353735E-8

Calculated density: Y: 2.227585542779296E-6
Emperical density: Y: 3.6393553125086775E-6


Difference between stated density and empirical:
Y: 2.6399963606446875


Difference between stated density and calculated:
Y: 2.6399977724144574

Distance between atoms in Y 3.8240655255541996E-8

Calculated density: Zr: 2.491258771967128E-6
Emperical density: Zr: 5.84824297080933E-6


Difference between stated density and empirical:
Zr: 4.4689941517570295


Difference between stated density and calculated:
Zr: 4.468997508741229

Distance between atoms in Zr 3.236304369946252E-8

Calculated density: Nb: 2.8573369146146317E-6
Emperical density: Nb: 7.2753353420998975E-6


Difference between stated density and empirical:
Nb: 6.505992724664658


Difference between stated density and calculated:
Nb: 6.505997142663086

Distance between atoms in Nb 2.8729427096558658E-8

Calculated density: Mo: 3.33926051324605E-6
Emperical density: Mo: 7.512891175646286E-6


Difference between stated density and empirical:
Mo: 8.569992487108825


Difference between stated density and calculated:
Mo: 8.569996660739488

Distance between atoms in Mo 2.6490454262382253E-8

Calculated density: Tc: 3.817545282303547E-6
Emperical density: Tc: 9.5090287596438E-6


Difference between stated density and empirical:
Tc: 10.219990490971242


Difference between stated density and calculated:
Tc: 10.219996182454718

Distance between atoms in Tc 2.5157925989326034E-8

Calculated density: Ru: 4.278323789316763E-6
Emperical density: Ru: 1.0982560376625759E-5


Difference between stated density and empirical:
Ru: 11.499989017439624


Difference between stated density and calculated:
Ru: 11.49999572167621

Distance between atoms in Ru 2.443756428040726E-8

Calculated density: Rh: 4.744731798689375E-6
Emperical density: Rh: 9.9850138676074E-6


Difference between stated density and empirical:
Rh: 12.369990014986131


Difference between stated density and calculated:
Rh: 12.3699952552682

Distance between atoms in Rh 2.3994188769055504E-8

Calculated density: Pd: 5.263498838623873E-6
Emperical density: Pd: 9.25871121201139E-6


Difference between stated density and empirical:
Pd: 12.409990741288787


Difference between stated density and calculated:
Pd: 12.409994736501162

Distance between atoms in Pd 2.423819451289958E-8

Calculated density: Ag: 5.732617825336066E-6
Emperical density: Ag: 6.287020470858832E-6


Difference between stated density and empirical:
Ag: 12.01999371297953


Difference between stated density and calculated:
Ag: 12.019994267382174

Distance between atoms in Ag 2.4608176324497823E-8

Calculated density: Cd: 6.430467888899543E-6
Emperical density: Cd: 7.206511889323506E-6


Difference between stated density and empirical:
Cd: 10.50099279348811


Difference between stated density and calculated:
Cd: 10.50099356953211

Distance between atoms in Cd 2.609811613055991E-8

Calculated density: In: 7.220172495292365E-6
Emperical density: In: 7.360821290695273E-6


Difference between stated density and empirical:
In: 8.689992639178708


Difference between stated density and calculated:
In: 8.689992779827504

Distance between atoms in In 2.7994959388359796E-8

Calculated density: Sn: 9.295969475307177E-6
Emperical density: Sn: 9.295969475307177E-6


Difference between stated density and empirical:
Sn: 7.3099907040305245


Difference between stated density and calculated:
Sn: 7.3099907040305245

Distance between atoms in Sn 2.998746474847975E-8

Calculated density: Sb: 1.2355522252818334E-5
Emperical density: Sb: 9.534809563755387E-6


Difference between stated density and empirical:
Sb: 7.286990465190436


Difference between stated density and calculated:
Sb: 7.2869876444777475

Distance between atoms in Sb 3.027390178816564E-8

Calculated density: Te: 1.6280700186207906E-5
Emperical density: Te: 1.1040895668151658E-5


Difference between stated density and empirical:
Te: 6.684988959104332


Difference between stated density and calculated:
Te: 6.684983719299813

Distance between atoms in Te 3.1589419445341525E-8

Calculated density: I: 2.002942786737159E-5
Emperical density: I: 1.1101405287095032E-5


Difference between stated density and empirical:
I: 6.231988898594713


Difference between stated density and calculated:
I: 6.231979970572133

Distance between atoms in I 3.239595974728817E-8

Calculated density: Xe: 2.488179434271193E-5
Emperical density: Xe: -1.0


Difference between stated density and empirical:
Xe: -1.0


Difference between stated density and calculated:
Xe: 4.929975118205657

Distance between atoms in Xe -1.0

Calculated density: Cs: 1.1989623681339195E-6
Emperical density: Cs: 1.805237308468926E-6


Difference between stated density and empirical:
Cs: 0.005885194762691531


Difference between stated density and calculated:
Cs: 0.005885801037631866

Distance between atoms in Cs 3.346822935938197E-7

Calculated density: Ba: 2.0244439628253282E-6
Emperical density: Ba: 3.298769296285466E-6


Difference between stated density and empirical:
Ba: 1.8729967012307036


Difference between stated density and calculated:
Ba: 1.872997975556037

Distance between atoms in Ba 4.956279892823761E-8

Calculated density: La: 4.472259535255402E-6
Emperical density: La: 4.472259535255402E-6


Difference between stated density and empirical:
